TOA,dist,scaled_dist,norm_TOA,sin_norm_TOA
0.0,-3125514.193625957,-0.03125514193625957,0.0,0.0
29.999116897583008,-3271325.4210238755,-0.032713254210238754,0.02122634277918239,0.021224748866648786
59.99774742126465,-3471172.573869258,-0.034711725738692585,0.0424523414169294,0.04243959128847508
89.99571132659912,-3640713.8637652695,-0.03640713863765269,0.0636778683784738,0.06363484284641362
119.99310970306396,-3777662.0557723343,-0.037776620557723344,0.08490299519125118,0.08480102781331246
149.99005126953125,-4028692.841873991,-0.04028692841873991,0.10612779878099414,0.10592868943740572
180.00885486602783,-4158772.5775790513,-0.041587725775790514,0.1273680711908639,0.12702397632774143
210.00452518463135,-4332030.624251872,-0.04332030624251872,0.148591975289365,0.14804577068968872
239.99961757659912,-4498998.774840862,-0.044989987748408615,0.1698154704668664,0.1690004766907001
269.9941530227661,-4702276.780095607,-0.04702276780095607,0.19103857156868495,0.18987867461756452
299.98801040649414,-4814643.947985517,-0.04814643947985517,0.21226119289685533,0.21067088159199068
330.0041923522949,-5098826.1377444565,-0.05098826137744457,0.23349961031690963,0.2313835734910599
359.9967269897461,-5103114.70325616,-0.0510311470325616,0.25472129571533325,0.25197570693452936
389.9892473220825,-5326412.765715467,-0.053264127657154665,0.27594297099194987,0.2724543551359173
420.00372219085693,-5504810.339519054,-0.055048103395190534,0.29718018054304474,0.29282515891515565
449.9949026107788,-5662915.454717189,-0.05662915454717189,0.3184009077437463,0.3130482440682412
479.9855556488037,-5791579.171551572,-0.057915791715515724,0.33962126178716595,0.3331300110140543
509.99847888946533,-6016007.34851411,-0.060160073485141095,0.3608573734596032,0.35307651679783797
539.9879541397095,-6150389.152697431,-0.06150389152697431,0.38207689414091955,0.37284840618644716
569.999680519104,-6259597.869578868,-0.06259597869578869,0.403312158955511,0.392466901115669
599.9883432388306,-6467743.000563489,-0.06467743000563489,0.42453110471819405,0.4118935546686568
629.9990110397339,-6593820.075124294,-0.06593820075124293,0.44576562051907315,0.4311488113177867
659.9865589141846,-6743354.810782301,-0.06743354810782301,0.46698377745560343,0.45019506099861906
689.9963073730469,-6863148.740742552,-0.06863148740742551,0.4882176427616909,0.46905250910533847
749.991678237915,-7125608.950058806,-0.07125608950058805,0.5306683026090968,0.5061098444855332
779.9999885559082,-7254259.163925566,-0.07254259163925565,0.551901150336195,0.5243070606431234
809.9851703643799,-7396932.194765913,-0.07396932194765914,0.5731176331258602,0.5422541603394115
839.9925756454468,-7406367.038891661,-0.0740636703889166,0.5943498404799737,0.5599702074405658
869.9999494552612,-7871812.5976108685,-0.07871812597610868,0.6155820255661122,0.5774338075629435
899.9830713272095,-7929000.222584593,-0.07929000222584594,0.6367970508155805,0.5946233105248785
929.9887018203735,-7671686.291882384,-0.07671686291882383,0.6580280023908484,0.6115577980551437
959.9951906204224,-7984465.669869292,-0.07984465669869291,0.6792595612745317,0.6282171067505217
990.000636100769,-8147138.503462233,-0.08147138503462233,0.7004903819410968,0.6445926745601472
1019.9828395843506,-8248069.496655333,-0.08248069496655333,0.7217047573705606,0.6606653595577956
1049.9874057769775,-8356427.251917708,-0.08356427251917707,0.7429349558833935,0.6764523770131781
1079.9916105270386,-8417610.786551345,-0.08417610786551345,0.7641648986519048,0.6919343297685852
1109.995611190796,-8804725.300074447,-0.08804725300074447,0.7853946970159706,0.7071043300804503
1139.9983205795288,-8457923.302361358,-0.08457923302361357,0.806623581718265,0.7219550151736884
1170.0021867752075,-8771839.546333708,-0.08771839546333708,0.8278532849373458,0.7364809059276581
1199.9823064804077,-8867338.356545318,-0.08867338356545318,0.8490661859569346,0.7506637761385604
1229.9848070144653,-8869339.687117446,-0.08869339687117446,0.8702949228808478,0.764519077885231
1259.9873008728027,-9036021.933338989,-0.09036021933338989,0.8915236550812512,0.7780298519927591
1289.9892387390137,-9041740.020687927,-0.09041740020687926,0.9127519938807588,0.7911897724652401
1319.9911575317383,-9228721.476998199,-0.09228721476998199,0.9339803191845237,0.8039931546691547
1349.99245262146,-9214140.354258407,-0.09214140354258407,0.9552082031775069,0.8164339827305436
1379.9937963485718,-9157817.193871368,-0.09157817193871368,0.9764361215846338,0.8285069398997953
1409.995327949524,-9035450.124604095,-0.09035450124604094,0.9976641729248246,0.8402066376318347
1439.9972677230835,-9650716.323349822,-0.09650716323349823,1.0188925130739066,0.8515278785524574
1469.9971551895142,-9448010.12682997,-0.09448010126829971,1.0401194010810886,0.8624646643416934
1499.9977188110352,-9402265.428038467,-0.09402265428038467,1.0613467675123445,0.8730130880519611
1529.9984350204468,-9714187.092923034,-0.09714187092923034,1.0825742419095408,0.8831681965303846
1559.9981107711792,-9462591.249569762,-0.09462591249569763,1.10380098011398,0.892925027918198
1589.99862575531,-9517198.98375212,-0.0951719898375212,1.1250283121310927,0.9022798012635429
1619.9989585876465,-9639280.148651946,-0.09639280148651946,1.1462555152638634,0.9112279698477704
1649.9988842010498,-9544645.803027023,-0.09544645803027023,1.1674824302625304,0.9197654467707321
1739.9988527297974,-9585530.12757193,-0.0958553012757193,1.2311633108907445,0.9428769865007471
1769.9989576339722,-9610975.616274703,-0.09610975616274703,1.2523903527493918,0.949735639167354
1799.9989776611328,-9598395.82410704,-0.0959839582410704,1.2736173345519846,0.956166351493386
1829.9990396499634,-9485463.598965514,-0.09485463598965514,1.294844346045211,0.962166254103433
1859.999478340149,-9727052.789458144,-0.09727052789458145,1.316071624079353,0.9677327014947916
1889.999111175537,-9528349.25408255,-0.09528349254082549,1.3372983319183718,0.972862975552948
