,TOA,first_diff,residuals,theta,circResiduals
0,0.0,29.999116897583008,0.013237290379578341,0.0,0.004163396546644115
1,29.999116897583008,29.99863052368164,0.012750314492693256,0.021083921226700626,0.004231240584659287
2,59.99774742126465,29.997963905334473,0.012085103348854685,0.04216750062103805,0.004114188047076781
3,89.99571132659912,29.997398376464844,0.011518034448148433,0.06325061150396002,0.004088369875543419
4,119.99310970306396,29.996941566467285,0.011062032415145081,0.08433332492297732,0.004166472374210313
5,149.99005126953125,30.018803596496582,0.01022424667532564,0.10541571728767704,0.003855409883789131
6,180.00885486602783,29.995670318603516,0.00979102791655681,0.12651347468197302,0.003941682683854232
7,210.00452518463135,29.995092391967773,0.009212190995692216,0.14759497359071164,0.0038740966043858942
8,239.99961757659912,29.994535446166992,0.00865619854674177,0.16867606632217164,0.003821280753957299
9,269.9941530227661,29.993857383728027,0.007977526528887773,0.1897567676220628,0.00363748829785137
10,299.98801040649414,30.01618194580078,0.007602628731444327,0.21083699236742406,0.003748951632313589
11,330.0041923522949,29.992534637451172,0.006654647647110526,0.23193290721825643,0.0032789606189845225
12,359.9967269897461,29.992520332336426,0.006640840528392394,0.25301220231364163,0.0037338286565634475
13,389.9892473220825,30.014474868774414,0.00589553771229176,0.27409148735513394,0.0034480576595048683
14,420.00372219085693,29.991180419921875,0.005301131026517549,0.29518620244139737,0.0033041615646313624
15,449.9949026107788,29.990653038024902,0.004773555193827182,0.3162645457682419,0.00321719641397852
16,479.9855556488037,30.01292324066162,0.004344553909892499,0.33734251844156327,0.003219055959248554
17,509.99847888946533,29.98947525024414,0.003594955652524847,0.35843614301556215,0.0028906939257175336
18,539.9879541397095,30.01172637939453,0.0031476371680337206,0.3795132879183569,0.0028541588790295842
19,569.999680519104,29.988662719726562,0.0027826660504040313,0.4006060713166385,0.0028899622088066172
20,599.9883432388306,30.01066780090332,0.0020889782409717617,0.42168264515830883,0.0025862571396545048
21,629.9990110397339,29.987547874450684,0.0016685898717545417,0.4427746845685058,0.0025454729378332
22,659.9865589141846,30.009748458862305,0.0011693884093492892,0.4638504748767789,0.002414758288830832
23,689.9963073730469,30.00934886932373,0.0007689417574413306,0.48494186815678353,0.0023720745562796214
24,720.0056562423706,29.986021995544434,-0.022393550620743018,0.5060329805980426,-0.02044381931012215
25,749.991678237915,30.008310317993164,-0.00010493394690831367,0.5271076984910585,0.0021798259408837665
26,779.9999885559082,29.98518180847168,-0.0005354223457378713,0.5481980810196833,0.0020731573855268613
27,809.9851703643799,30.007405281066895,-0.0010094814751277909,0.5692722084140484,0.0019110759616691765
28,839.9925756454468,30.007373809814453,-0.001042909736956225,0.5903619548663737,0.0021781168782407014
29,869.9999494552612,29.983121871948242,-0.0025944378832171155,0.6114516792001343,0.0009151799132165843
30,899.9830713272095,30.005630493164062,-0.0027852520203464556,0.6325243588339023,0.0010007322729126654
31,929.9887018203735,30.006488800048828,-0.0019264965728636764,0.6536128579332318,0.0021239386693213923
32,959.9951906204224,30.00544548034668,-0.0029703811676981117,0.6747019602661434,0.001332266920743239
33,990.000636100769,29.982203483581543,-0.003513293479906027,0.6957903293351229,0.0010292013223237879
34,1019.9828395843506,30.004566192626953,-0.0038494321374530644,0.7168623635089579,0.0009202742892932252
35,1049.9874057769775,30.004204750061035,-0.0042111976158966755,0.7379501145986455,0.000773330446809108
36,1079.9916105270386,30.004000663757324,-0.004415827580139796,0.7590376116599691,0.0007708601183365072
37,1109.995611190796,30.00270938873291,-0.0057052610106387465,0.7801249652857519,-0.0003291641512426363
38,1139.9983205795288,30.00386619567871,-0.004550542219723003,0.8012114113801235,0.0010021231993290452
39,1170.0021867752075,29.980119705200195,-0.00559619866945109,0.8222986704993119,0.00012013068853804036
40,1199.9823064804077,30.002500534057617,-0.005915731397566905,0.8433692401560615,-4.883665404632927e-05
41,1229.9848070144653,30.002493858337402,-0.005922064482093514,0.8644555394635949,8.246268611590384e-05
42,1259.9873008728027,30.001937866210938,-0.006477581765537038,0.8855418340793113,-0.00034853360487399794
43,1289.9892387390137,30.00191879272461,-0.006497134457872068,0.9066277379337185,-0.00025673401010807215
44,1319.9911575317383,30.00129508972168,-0.007120596418400186,0.9277136283829349,-0.0007820595249382334
45,1349.99245262146,30.001343727111816,-0.0070713400498860525,0.9487990804824152,-0.000647927734841628
46,1379.9937963485718,30.00153160095215,-0.0068844483702237315,0.9698845667651316,-0.0003894571087016477
47,1409.995327949524,30.00193977355957,-0.006476043924031925,0.9909701850889767,7.71981608334929e-05
48,1439.9972677230835,29.999887466430664,-0.008528640122711208,1.012056090283903,-0.0019305012052213116
49,1469.9971551895142,30.000563621520996,-0.007851886263428781,1.0331405530803084,-0.0012222270468651326
50,1499.9977188110352,30.00071620941162,-0.007699848035091491,1.0542254910907247,-0.0010520552790074592
51,1529.9984350204468,29.999675750732422,-0.008740346308302803,1.0753105363426667,-0.0020878157048339896
52,1559.9981107711792,30.00051498413086,-0.007900728243698408,1.0963948503414551,-0.001256857184902583
53,1589.99862575531,30.000332832336426,-0.008082582800781293,1.1174797541686352,-0.0014607652368278656
54,1619.9989585876465,29.99992561340332,-0.008490762249492061,1.138564529976244,-0.0019043820158968529
55,1649.9988842010498,30.00024127960205,-0.008173890396005586,1.1596490195830307,-0.0016363149147066922
56,1679.9991254806519,30.009103775024414,-0.022012146084392992,1.180733731045724,-0.015536722196006152
57,1710.0082292556763,29.990623474121094,-0.017791532170329527,1.2018246712302825,-0.011391602902539495
58,1739.9988527297974,30.000104904174805,-0.008310963980697828,1.2229026231255582,-0.0019997636303209342
