,Datetime,RA,DEC,Lon,Lat,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start
3213,2024-05-13 21:00:00,128.70879166666666,23.708472222222223,125.07645685655604,4.858672270835268,-9.288,5.588,0.00264310853482,0.0525804,71.9030 /T,107.9545,30.958322,106.38638,3.0412612,n.a.,n.a.,11566800.0
6377,2024-09-22 17:00:00,60.58470833333333,25.231277777777777,63.53744566890752,4.454286293432082,-11.065,4.747,0.00248197532527,0.0653537,116.2046 /L,63.6685,35.132176,75.970079,3.5505736,n.a.,n.a.,22957200.0
7729,2024-11-18 01:00:00,84.367875,28.37777777777778,85.028970357256,5.035800164310671,-12.05,4.047,0.00247670448333,0.061499,150.4031 /L,29.5264,35.447047,87.026235,3.3217019,n.a.,n.a.,27824400.0
6597,2024-10-01 21:00:00,179.35866666666666,1.0138333333333334,179.00559270706484,0.6750176665084884,-4.83,5.813,0.00271538879596,0.0072619,9.8436 /L,170.1296,29.610494,118.69203,0.4225303,n.a.,n.a.,23749200.0
3530,2024-05-27 02:00:00,291.33591666666666,-26.868916666666667,288.9990940089526,-4.826759941587265,-11.584,4.381,0.00253240408787,-0.0339475,136.7298 /L,43.1723,33.9051,81.051292,-1.869327,n.a.,n.a.,12708000.0
6165,2024-09-13 21:00:00,296.13483333333335,-25.608833333333333,293.46382130069173,-4.274346838995621,-11.207,4.646,0.00250834010233,-0.072078,121.9891 /T,57.8897,34.419064,78.192853,-3.948043,n.a.,n.a.,22194000.0
3922,2024-06-12 10:00:00,155.06729166666668,13.908111111111111,151.84669833903183,3.3111516138887347,-9.171,5.631,0.00268190599662,0.0305461,70.2900 /T,109.5675,30.081489,115.08055,1.792217,n.a.,n.a.,14119200.0
1152,2024-02-18 00:00:00,73.29104166666667,26.96163888888889,75.10852899117326,4.382296223316909,-10.705,4.888,0.00259267015867,0.056344,106.5810 /T,73.275,32.17896,80.88001,3.1995179,n.a.,n.a.,4147200.0
6310,2024-09-19 22:00:00,20.479875,10.246305555555555,22.751511439684116,1.5042017132300418,-12.187,3.997,0.00240002242126,0.0293327,154.3003 /L,25.6407,37.741591,63.090745,1.5396844,n.a.,n.a.,22716000.0
343,2024-01-15 07:00:00,348.671875,-6.173777777777778,347.1672554909171,-1.2027781385616239,-8.497,5.933,0.00243779967827,0.0283158,52.3030 /T,127.5847,36.508351,62.768051,1.5041543,n.a.,n.a.,1234800.0
4074,2024-06-18 18:00:00,224.44620833333335,-18.06447222222222,227.23882049616094,-1.1281234972579832,-11.581,4.321,0.00263549750147,-0.0477472,140.0553 /T,39.8493,31.29951,110.52744,-2.737199,n.a.,n.a.,14666400.0
4018,2024-06-16 10:00:00,197.60108333333332,-7.882305555555556,199.2259196592771,-0.38245133984465374,-10.797,4.815,0.00268707966112,-0.0259917,113.9102 /T,65.9513,29.982458,117.27203,-1.526531,n.a.,n.a.,14464800.0
6206,2024-09-15 14:00:00,321.32479166666667,-18.664611111111114,317.79921856724945,-3.332115619259428,-11.888,4.207,0.00244258077996,-0.0582598,144.5355 /T,35.3837,36.402463,68.291304,-3.098156,n.a.,n.a.,22341600.0
8504,2024-12-20 08:00:00,152.909375,14.022972222222222,149.84763901399916,2.6688592223248575,-11.05,4.658,0.00263776302043,0.0532535,118.6914 /L,61.1741,31.114481,115.10059,3.0754088,n.a.,n.a.,30614400.0
7129,2024-10-24 01:00:00,120.43429166666667,25.494583333333335,117.31777917956096,4.895235073103488,-10.234,5.142,0.00260317740318,0.0651366,93.4348 /L,86.4155,31.868095,103.70294,3.716903,n.a.,n.a.,25664400.0
