,Datetime,RA,DEC,Lon,Lat,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start
3751,2024-06-05 07:00:00,55.63325,23.386555555555557,58.725933325570516,3.601411781307671,-5.653,6.289,0.00248802333554,0.0327189,16.4423 /L,163.5176,35.217103,73.544044,1.7640044,n.a.,n.a.,13503600.0
857,2024-02-05 17:00:00,257.27566666666667,-26.601833333333335,258.6088760415772,-3.663773964637211,-8.708,5.831,0.00252927222701,-0.0729782,57.4661 /L,122.4097,33.844,97.337479,-4.037481,n.a.,n.a.,3085200.0
275,2024-01-12 11:00:00,308.20120833333334,-22.201083333333333,304.98678413057286,-3.2828091541865825,-5.542,6.116,0.00242667583338,-0.0176679,14.0525 /T,165.9133,36.999941,74.310524,-0.938258,n.a.,n.a.,990000.0
2814,2024-04-27 06:00:00,252.82604166666667,-26.948083333333333,254.68357629773953,-4.416635381827177,-11.684,4.257,0.00260442216992,-0.0407487,142.1911 /L,37.7184,32.076248,99.273459,-2.306367,n.a.,n.a.,10130400.0
910,2024-02-07 22:00:00,292.3,-25.014666666666667,290.13401232537535,-3.12144403284272,-6.852,6.334,0.00244362193629,-0.0563857,28.8507 /L,151.0805,36.403927,80.90846,-3.006754,n.a.,n.a.,3276000.0
6081,2024-09-10 09:00:00,245.014,-25.855333333333334,247.5828078688577,-4.338708232816994,-9.646,5.424,0.00264381304588,-0.0538363,79.8678 /T,99.9841,30.916593,102.10252,-3.119929,n.a.,n.a.,21891600.0
2271,2024-04-04 15:00:00,321.27158333333335,-18.102666666666668,317.92611230544316,-2.7822846805372747,-8.759,5.857,0.00245059657483,-0.0514596,57.7283 /L,122.1527,36.075707,68.966663,-2.759982,n.a.,n.a.,8175600.0
4470,2024-07-05 06:00:00,95.36341666666667,28.326888888888888,94.73942338542243,4.975817868277976,-4.928,5.861,0.00256935527478,0.0424304,9.9635 /L,170.0113,33.056512,91.780258,2.3610599,n.a.,n.a.,16092000.0
4287,2024-06-27 15:00:00,350.73725,-5.944972222222223,349.14760477577903,-1.7963424438248272,-10.763,4.942,0.00246833840334,0.0009917,106.9802 /L,72.8869,35.564822,62.180536,0.0551791,n.a.,n.a.,15433200.0
4026,2024-06-16 18:00:00,201.21470833333333,-8.061083333333332,202.6100876091358,0.7941576941430338,-10.911,4.749,0.00268167899675,-0.0300663,117.5812 /T,62.2848,30.11902,116.69333,-1.761266,n.a.,n.a.,14493600.0
6283,2024-09-18 19:00:00,5.279,2.22975,5.724799259211937,-0.05007883146191859,-12.612,3.629,0.00238863227001,0.0052112,170.2674 /L,9.7098,38.143795,61.391641,0.2766729,n.a.,n.a.,22618800.0
4643,2024-07-12 11:00:00,183.89754166666665,-0.8544722222222223,183.91283152051795,0.7650026093053602,-9.312,5.564,0.00270319008642,-0.0016583,73.7825 /T,106.0711,29.597683,118.40658,-0.099817,n.a.,n.a.,16714800.0
6436,2024-09-25 04:00:00,97.808875,28.54566666666667,96.88615138756113,5.292839172486663,-9.934,5.310,0.00257660199424,0.0635412,85.3722 /L,94.481,32.548063,93.318747,3.5862791,n.a.,n.a.,23169600.0
6777,2024-10-09 09:00:00,269.226125,-27.31872222222222,269.30128953936753,-3.881220136028598,-9.396,5.538,0.00261424204716,-0.0564446,73.1710 /T,106.6854,31.644723,90.788103,-3.232377,n.a.,n.a.,24397200.0
2342,2024-04-07 14:00:00,1.6966666666666668,0.6646388888888889,1.8162758636461864,-0.06498266196757779,-5.782,6.268,0.0023988555419,-0.0032938,16.6627 /L,163.2977,37.820299,61.434094,-0.177538,n.a.,n.a.,8431200.0
8584,2024-12-23 16:00:00,188.84133333333332,-3.4047777777777775,189.45827526984445,0.37474141760429897,-9.74,5.331,0.00270175699981,0.0096778,82.0421 /L,97.8019,29.587386,118.12055,0.5730433,n.a.,n.a.,30902400.0
3023,2024-05-05 23:00:00,14.495166666666666,6.25975,15.758981880381665,0.06126720794634033,-6.896,6.375,0.00242748714836,0.0007204,29.8259 /L,150.1052,36.919818,62.160542,0.033179,n.a.,n.a.,10882800.0
3239,2024-05-14 23:00:00,142.20608333333334,19.423083333333334,138.36328204276643,4.312832737011336,-9.787,5.351,0.00267220148267,0.0399042,84.0958 /T,95.7535,30.261645,111.34756,2.3371723,n.a.,n.a.,11660400.0
2112,2024-03-29 00:00:00,226.089875,-19.55975,229.15177797703348,-2.127754529939182,-11.572,4.305,0.00265607362812,-0.0378142,138.9564 /L,40.9439,30.81425,110.30915,-2.184684,n.a.,n.a.,7603200.0
6973,2024-10-17 13:00:00,22.733291666666666,11.353527777777778,25.218763987390602,1.7140121599999523,-12.831,3.417,0.00238926145261,0.0114941,178.0516 /L,1.9439,38.133379,63.5418,0.6036329,n.a.,n.a.,25102800.0
1219,2024-02-20 19:00:00,112.65320833333334,26.98616666666667,110.15860285490939,5.118148184703312,-11.575,4.291,0.00266714672654,0.0353568,138.6070 /T,41.2908,30.560237,99.332543,2.0595827,n.a.,n.a.,4388400.0
3286,2024-05-16 22:00:00,164.264625,9.7525,161.7600878291934,2.814024159169441,-10.533,4.957,0.00270201141875,0.0123304,105.5724 /T,74.2802,29.617634,116.93634,0.7318329,n.a.,n.a.,11829600.0
8556,2024-12-22 12:00:00,176.64016666666666,1.9957777777777779,176.12179511554976,0.49579530298442,-10.232,5.095,0.00268932036858,0.0271042,94.6574 /L,85.1865,29.857365,118.42911,1.6000643,n.a.,n.a.,30801600.0
1081,2024-02-15 01:00:00,32.618833333333335,14.923305555555554,35.48916388422129,1.6669287361942708,-9.382,5.577,0.00248705710445,0.0621811,70.0072 /T,109.8571,34.977216,65.63386,3.3823045,n.a.,n.a.,3891600.0
554,2024-01-24 02:00:00,106.23858333333334,27.622444444444444,104.40301747855719,4.991324009813517,-12.177,3.815,0.00265097819202,0.0339884,160.5579 /T,19.3907,31.051813,96.190348,1.9618083,n.a.,n.a.,1994400.0
7290,2024-10-30 18:00:00,196.24775,-7.914888888888889,197.99873221329045,-0.9226755535490724,-5.794,6.320,0.00271329491412,-0.0068524,19.4256 /L,160.522,29.633413,117.52074,-0.409315,n.a.,n.a.,26244000.0
4141,2024-06-21 13:00:00,263.1707083333333,-27.935194444444445,263.94027925994584,-4.639099936076474,-12.488,3.611,0.00255416228138,-0.0483707,172.0710 /T,7.9091,33.441436,94.116268,-2.676731,n.a.,n.a.,14907600.0
4819,2024-07-19 19:00:00,276.56041666666664,-27.668277777777778,275.8147458241895,-4.361519925654379,-12.152,3.941,0.00252000383762,-0.057271,158.0023 /T,21.9444,34.293828,87.523419,-3.132836,n.a.,n.a.,17348400.0
5399,2024-08-12 23:00:00,230.60379166666667,-21.596833333333336,233.7699076871641,-2.974084135448257,-10.16,5.179,0.00265144839273,-0.051309,93.6085 /T,86.2418,30.733668,108.08425,-2.981473,n.a.,n.a.,19436400.0
2442,2024-04-11 18:00:00,59.71554166666667,24.497500000000002,62.61638050356208,3.8916290260005435,-7.674,6.202,0.00248776771241,0.0672409,40.7703 /T,139.1368,35.076995,74.946343,3.6432211,n.a.,n.a.,8791200.0
7491,2024-11-08 03:00:00,305.27383333333336,-23.74672222222222,301.9945389691025,-4.141313910869278,-9.592,5.463,0.00255562988677,-0.0538359,76.0796 /T,103.7769,33.126809,74.25158,-3.012872,n.a.,n.a.,26967600.0
5506,2024-08-17 10:00:00,295.406625,-25.57261111111111,292.82154291422967,-4.124777028561056,-11.921,4.156,0.00248422475001,-0.0628209,147.6971 /T,32.2277,35.222227,78.608402,-3.39436,n.a.,n.a.,19821600.0
2082,2024-03-27 18:00:00,211.30675,-13.477833333333333,213.79881413435308,-0.7354116178398974,-11.926,4.012,0.00268023988263,-0.0291792,153.0006 /L,26.9299,30.334129,114.80714,-1.695636,n.a.,n.a.,7495200.0
5173,2024-08-03 13:00:00,123.94816666666667,24.5855,120.63322770850348,4.6838738332175005,-5.057,6.023,0.00263300766441,0.0379483,11.6804 /L,168.2892,31.483017,104.96871,2.1633579,n.a.,n.a.,18622800.0
576,2024-01-25 00:00:00,118.76404166666667,25.86797222222222,115.76274978318376,4.964466909472701,-12.415,3.586,0.00266806097357,0.0304611,170.2627 /T,9.7109,30.682219,101.84989,1.7689081,n.a.,n.a.,2073600.0
4592,2024-07-10 08:00:00,161.41620833333334,10.667333333333334,158.81654973139015,2.5935597803728263,-8.115,6.039,0.00268763426946,0.0256831,50.6407 /T,129.2421,30.044106,116.539,1.5037048,n.a.,n.a.,16531200.0
5380,2024-08-12 04:00:00,220.89945833333334,-18.89388888888889,224.26322340714216,-2.9053371030828123,-9.807,5.344,0.00267271553164,-0.0415151,84.7354 /T,95.1141,30.247809,111.5518,-2.433153,n.a.,n.a.,19368000.0
5168,2024-08-03 08:00:00,121.13983333333333,25.232611111111108,117.99778411299867,4.76905352355243,-5.292,6.179,0.00262841732803,0.038346,13.9718 /L,165.9921,31.587733,103.78685,2.182672,n.a.,n.a.,18604800.0
7294,2024-10-30 22:00:00,198.02158333333333,-7.004583333333334,199.27940314443381,0.5877015206978721,-5.627,6.279,0.00271257063632,-0.0081907,17.6378 /L,162.3144,29.655823,117.25123,-0.488028,n.a.,n.a.,26258400.0
5011,2024-07-27 19:00:00,27.800833333333333,13.48386111111111,30.605654695799473,1.9211760232709991,-10.324,5.171,0.0024800612288,0.0341595,94.2698 /L,85.5907,35.191964,64.739905,1.8549346,n.a.,n.a.,18039600.0
8632,2024-12-25 16:00:00,210.39033333333333,-14.795,213.41350288145748,-2.276771050645564,-8.739,5.762,0.00269595926731,-0.0189043,60.4858 /L,119.3773,29.794313,114.29083,-1.118253,n.a.,n.a.,31075200.0
3103,2024-05-09 07:00:00,61.412708333333335,24.854444444444447,64.20239843248544,3.939472568293211,-5.615,6.258,0.00248150471733,0.0524735,15.8713 /T,164.0903,35.374658,75.741452,2.8256904,n.a.,n.a.,11170800.0
5765,2024-08-28 05:00:00,87.26691666666666,28.559555555555555,87.59177357504896,5.143250860855715,-9.14,5.675,0.00257490001771,0.0519209,67.5529 /L,112.3119,32.659184,88.234729,2.9218712,n.a.,n.a.,20754000.0
4762,2024-07-17 10:00:00,241.39158333333333,-24.96536111111111,244.19540159888157,-4.051530790015066,-11.307,4.535,0.0026033845325,-0.0597873,129.1225 /T,50.7637,32.00755,103.78766,-3.393373,n.a.,n.a.,17143200.0
6990,2024-10-18 06:00:00,32.75216666666667,15.97311111111111,35.96234275335895,2.6130951078362368,-12.582,3.649,0.00239721272622,0.0272161,168.7328 /L,11.2406,37.870627,65.943768,1.4262947,n.a.,n.a.,25164000.0
6265,2024-09-18 01:00:00,355.232375,-2.7424444444444442,354.5313255415858,-0.6231674490803965,-12.825,3.423,0.00239006105792,-0.0118094,178.5612 /T,1.4352,38.105932,61.459994,-0.608951,n.a.,n.a.,22554000.0
6692,2024-10-05 20:00:00,222.32545833333333,-18.199777777777776,225.34812907386308,-1.8403783998445868,-6.957,6.317,0.00269701441098,-0.0241634,33.2513 /T,146.6639,29.926105,111.11243,-1.423554,n.a.,n.a.,24091200.0
4596,2024-07-10 12:00:00,163.23316666666668,9.76963888888889,160.81330466877765,2.4412974223552695,-8.222,6.001,0.00269001970922,0.023865,52.4706 /T,127.4091,29.981139,116.85925,1.3988876,n.a.,n.a.,16545600.0
3549,2024-05-27 21:00:00,303.1168333333333,-23.011277777777778,300.22618718002764,-2.981060108586994,-11.32,4.573,0.00251753283824,-0.0310862,126.7405 /L,53.1458,34.258641,75.869307,-1.704586,n.a.,n.a.,12776400.0
6245,2024-09-17 05:00:00,343.988125,-8.799416666666668,341.86751656569254,-1.8295044173418735,-12.518,3.707,0.00240018392199,-0.0300115,167.0828 /T,12.8865,37.773622,62.66112,-1.563154,n.a.,n.a.,22482000.0
5281,2024-08-08 01:00:00,176.25641666666667,2.774388888888889,175.46075197216348,1.0581124688088692,-7.401,6.244,0.00270589927721,0.0116576,39.8214 /T,140.0806,29.695644,118.42172,0.6832992,n.a.,n.a.,19011600.0
4165,2024-06-22 13:00:00,278.511875,-27.78588888888889,277.5388107796539,-4.569371883679483,-12.508,3.613,0.0025278441516,-0.0423357,171.9835 /L,7.9968,34.140619,86.82962,-2.31836,n.a.,n.a.,14994000.0
5128,2024-08-01 16:00:00,97.44641666666666,28.34172222222222,96.57744152117935,5.072286799239892,-7.016,6.349,0.00259045277455,0.0402041,33.3161 /L,146.6032,32.446589,92.980788,2.2613886,n.a.,n.a.,18460800.0
2117,2024-03-29 05:00:00,228.67716666666666,-20.682055555555557,231.7956905444534,-2.553685682601148,-11.512,4.352,0.00265143638291,-0.0392715,136.5904 /L,43.3054,30.908807,109.38218,-2.266132,n.a.,n.a.,7621200.0
351,2024-01-15 15:00:00,353.00933333333336,-4.413583333333333,351.83185248047533,-1.2800084155117821,-8.75,5.840,0.00244362850665,0.0321604,56.7913 /T,123.0896,36.313693,62.267584,1.7141901,n.a.,n.a.,1263600.0
3564,2024-05-28 12:00:00,312.15875,-21.362472222222223,308.7603257837253,-3.4170217985160436,-11.098,4.721,0.00250673384846,-0.0287377,118.7713 /L,61.1047,34.519546,72.223133,-1.571103,n.a.,n.a.,12830400.0
1055,2024-02-13 23:00:00,18.479833333333332,8.17061111111111,20.14234697442561,0.32030084539674525,-8.678,5.870,0.00245014716909,0.0547437,55.7475 /T,124.1349,36.096558,62.760174,2.9281956,n.a.,n.a.,3798000.0
2915,2024-05-01 11:00:00,314.81741666666665,-21.996305555555555,310.9677941963863,-4.704568498250791,-10.178,5.229,0.00249772831193,-0.0437421,90.2442 /L,89.6137,34.681744,71.266438,-2.392118,n.a.,n.a.,10494000.0
4915,2024-07-23 19:00:00,336.0985,-12.880027777777777,333.14911475710534,-2.717394388368827,-11.957,4.160,0.00244001369948,-0.0064927,147.8652 /L,32.062,36.54243,64.469055,-0.340386,n.a.,n.a.,17694000.0
3699,2024-06-03 03:00:00,25.475041666666666,11.906777777777778,27.922941156647937,1.254130835762752,-7.94,6.152,0.00246237531394,0.0083772,44.7907 /L,135.111,35.842456,64.068164,0.445881,n.a.,n.a.,13316400.0
7858,2024-11-23 10:00:00,157.97391666666667,11.948583333333334,155.20360197580746,2.5218657063975254,-9.916,5.263,0.00267192621869,0.0422547,86.0550 /L,93.7903,30.244638,116.17422,2.4765659,n.a.,n.a.,28288800.0
7985,2024-11-28 17:00:00,214.63583333333332,-15.19686111111111,217.4130668500154,-1.2794752447242612,-6.637,6.335,0.0026935775262,-0.0226819,28.7939 /L,151.1304,30.030516,113.27922,-1.3339,n.a.,n.a.,28746000.0
5376,2024-08-12 00:00:00,218.92754166666666,-17.647027777777776,222.09738419623315,-2.2899589821401283,-9.729,5.380,0.00267660688231,-0.0393237,82.8858 /T,96.9639,30.162063,112.18912,-2.308258,n.a.,n.a.,19353600.0
920,2024-02-08 08:00:00,299.00175,-24.122833333333332,296.3006092416195,-3.2937431830883903,-6.39,6.347,0.002430799927,-0.0500291,23.2546 /L,156.6893,36.81098,77.925204,-2.653588,n.a.,n.a.,3312000.0
6920,2024-10-15 08:00:00,352.974625,-3.5236666666666667,352.15149821170553,-0.44865155610344215,-12.074,4.082,0.00240613533073,-0.0363619,149.6462 /T,30.2838,37.537348,61.614594,-1.902706,n.a.,n.a.,24912000.0
1669,2024-03-10 13:00:00,353.91004166666664,-3.1411666666666664,353.16060632625204,-0.4663228281525305,-4.39,4.052,0.00238611920311,0.0058531,3.1303 /T,176.8624,38.233334,61.84791,0.2983992,n.a.,n.a.,6008400.0
7596,2024-11-12 12:00:00,2.884541666666667,1.0099166666666666,3.0435372213327345,-0.22023745299372915,-11.618,4.406,0.00242802624457,-0.034404,132.8026 /T,47.0943,36.813373,61.441967,-1.819973,n.a.,n.a.,27345600.0
1370,2024-02-27 02:00:00,185.25404166666667,-0.7413333333333333,185.1132153073263,1.4066990282116945,-11.9,4.011,0.00271092462334,-0.0121744,152.2832 /L,27.6442,29.648571,118.42861,-0.712885,n.a.,n.a.,4932000.0
6689,2024-10-05 17:00:00,220.848625,-18.746833333333335,224.1729526826945,-2.779608577990353,-6.85,6.334,0.00269871919538,-0.0230639,31.8785 /T,148.0398,29.895478,111.60952,-1.359622,n.a.,n.a.,24080400.0
3208,2024-05-13 16:00:00,125.982125,24.409138888888886,122.48178577048733,4.935555078522498,-9.182,5.636,0.00263665645566,0.0546319,69.5212 /T,110.3387,31.117968,105.27839,3.151029,n.a.,n.a.,11548800.0
7079,2024-10-21 23:00:00,89.71566666666666,28.657916666666665,89.75130248852469,5.218980077308634,-11.129,4.681,0.00251813496395,0.0728997,118.8067 /L,61.0666,34.128228,89.465407,4.0169883,n.a.,n.a.,25484400.0
6164,2024-09-13 20:00:00,295.5075,-25.49427777777778,292.92491255996487,-4.063205198498406,-11.19,4.656,0.00251007620176,-0.0721952,121.4564 /T,58.4217,34.369163,78.471549,-3.957492,n.a.,n.a.,22190400.0
7661,2024-11-15 05:00:00,39.94083333333333,18.878611111111113,43.399450652995284,3.1663466946107426,-12.617,3.604,0.00241039653568,0.0147917,169.9249 /T,10.0505,37.488737,68.26833,0.7814945,n.a.,n.a.,27579600.0
7723,2024-11-17 19:00:00,80.338875,28.12402777777778,81.45787324415008,4.970990838539378,-12.144,3.977,0.0024680202904,0.0587398,153.6745 /L,26.2624,35.710605,85.11342,3.1610645,n.a.,n.a.,27802800.0
5086,2024-07-30 22:00:00,71.427625,26.987555555555556,73.45801968267762,4.608840706527587,-8.462,5.955,0.00254954279623,0.0405138,54.5471 /L,125.3354,33.390096,80.7052,2.2513743,n.a.,n.a.,18309600.0
3969,2024-06-14 09:00:00,176.135,3.3305555555555553,175.12862052738515,1.5203931375860333,-10.044,5.220,0.00270119351877,0.0028373,91.6698 /T,88.1779,29.618421,118.24364,0.1682778,n.a.,n.a.,14288400.0
1235,2024-02-21 11:00:00,121.52854166666667,25.412305555555555,118.30529441658848,5.017768789854249,-11.762,4.141,0.00267976354113,0.0301988,146.0151 /T,33.8981,30.314539,103.25393,1.7663033,n.a.,n.a.,4446000.0
5740,2024-08-27 04:00:00,71.75004166666666,27.21425,73.77239747538071,4.797552845486429,-9.741,5.423,0.00254263733967,0.0549948,80.3034 /L,99.5544,33.45875,80.929424,3.0602733,n.a.,n.a.,20664000.0
6827,2024-10-11 11:00:00,299.61454166666664,-24.294055555555556,296.8163138080959,-3.570708305978096,-10.451,5.061,0.00253817630874,-0.0678706,98.2387 /T,81.6172,33.549247,76.653934,-3.771734,n.a.,n.a.,24577200.0
5290,2024-08-08 10:00:00,180.16883333333334,0.6526111111111111,179.89248516684964,0.6658543572454161,-7.676,6.168,0.00270799201493,0.007621,43.8866 /T,136.0072,29.627291,118.53419,0.4461651,n.a.,n.a.,19044000.0
5636,2024-08-22 20:00:00,11.393333333333333,5.475333333333333,12.61023945295497,0.5342781702883962,-11.699,4.366,0.00242169964744,0.0288065,137.2394 /L,42.6677,37.021445,61.903783,1.5267605,n.a.,n.a.,20289600.0
7800,2024-11-21 00:00:00,128.65566666666666,23.262666666666668,125.14067355102667,4.414822197256821,-10.925,4.760,0.00259355891607,0.0671018,113.5974 /L,66.265,32.152282,107.14042,3.810928,n.a.,n.a.,28080000.0
3216,2024-05-14 00:00:00,130.323875,23.267083333333332,126.62668911397289,4.807993841845347,-9.35,5.560,0.00264685826981,0.0512818,73.3259 /T,106.5303,30.866326,107.0277,2.9709985,n.a.,n.a.,11577600.0
1905,2024-03-20 09:00:00,130.161125,23.41511111111111,126.44348691251525,4.912472438612756,-11.205,4.542,0.00268697452385,0.0323865,126.3829 /T,53.4927,30.033191,106.92388,1.9050261,n.a.,n.a.,6858000.0
2574,2024-04-17 06:00:00,137.55158333333333,21.17477777777778,133.6578079893389,4.6494575722645415,-10.585,4.929,0.00268287451542,0.0361046,106.2213 /T,73.6317,30.035939,109.73768,2.1243838,n.a.,n.a.,9266400.0
1086,2024-02-15 06:00:00,35.372125,16.10863888888889,38.38624387641294,1.9106515550239564,-9.5,5.523,0.0024945854996,0.0629079,72.6949 /T,107.1669,34.758209,66.37563,3.433175,n.a.,n.a.,3909600.0
60,2024-01-03 12:00:00,185.31241666666668,0.8332222222222222,184.54233665380505,2.8752711652881904,-10.315,5.050,0.00269211780812,-0.0269008,97.0436 /L,82.8008,29.795968,118.19139,-1.588467,n.a.,n.a.,216000.0
6788,2024-10-09 20:00:00,275.87466666666666,-27.38513888888889,275.21782333767806,-4.052373415387233,-9.645,5.431,0.00259882594778,-0.0599529,78.5541 /T,101.2997,32.007469,87.597695,-3.413479,n.a.,n.a.,24436800.0
878,2024-02-06 14:00:00,270.84908333333334,-27.696166666666667,270.7442739385824,-4.259040089044931,-8.078,6.059,0.00249296030648,-0.0699708,46.3791 /L,133.5157,34.894184,90.958731,-3.81102,n.a.,n.a.,3160800.0
8612,2024-12-24 20:00:00,201.214,-9.050555555555555,202.97633839995652,-0.1249344598718494,-9.186,5.578,0.00270239169576,-0.0076175,69.4871 /L,110.3653,29.610241,116.40217,-0.453239,n.a.,n.a.,31003200.0
5694,2024-08-25 06:00:00,43.973333333333336,20.302583333333335,47.45662253485409,3.400975444264157,-10.69,4.971,0.00248177023324,0.0529166,104.7046 /L,75.1594,35.129838,69.487385,2.8759742,n.a.,n.a.,20498400.0
3142,2024-05-10 22:00:00,86.29833333333333,28.328694444444444,86.73181507959829,4.931538199071808,-7.32,6.290,0.00253740231754,0.0644489,36.6321 /T,143.282,33.758262,87.067086,3.5572499,n.a.,n.a.,11311200.0
4466,2024-07-05 02:00:00,92.85591666666667,28.36663888888889,92.52406624409876,4.952427056793281,-5.119,6.035,0.00256529884748,0.0418454,11.7774 /L,168.1928,33.157684,90.58699,2.325061,n.a.,n.a.,16077600.0
1206,2024-02-20 06:00:00,105.22841666666666,27.85227777777778,103.48573801814926,5.122997642122796,-11.419,4.409,0.00265541821643,0.0396266,132.5294 /T,47.3573,30.795579,95.91055,2.2996026,n.a.,n.a.,4341600.0
6124,2024-09-12 04:00:00,270.455,-27.318027777777775,270.3955899216615,-3.87932266364087,-10.486,5.033,0.0025793028791,-0.0692916,100.8085 /T,79.0473,32.483299,90.212496,-3.912971,n.a.,n.a.,22046400.0
8274,2024-12-10 18:00:00,14.733541666666667,7.553527777777777,16.475531893724906,1.1643709433521752,-11.173,4.680,0.00245428116243,-0.0211978,117.6451 /T,62.2285,35.992029,62.495011,-1.134662,n.a.,n.a.,29786400.0
68,2024-01-03 20:00:00,188.82379166666666,-1.2883333333333333,188.60981443414278,2.3136377380667623,-10.19,5.117,0.00268647398058,-0.0317226,93.4182 /L,86.4255,29.917171,118.07529,-1.869833,n.a.,n.a.,244800.0
7476,2024-11-07 12:00:00,296.4427083333333,-25.78986111111111,293.70560323619674,-4.501551186804499,-9.228,5.614,0.00257468207559,-0.0516051,68.4965 /T,111.365,32.661576,78.011906,-2.908447,n.a.,n.a.,26913600.0
3385,2024-05-21 01:00:00,208.24220833333334,-12.859027777777778,210.78459270684286,-1.1849029853767516,-11.845,4.092,0.00266914120401,-0.0342171,150.7193 /T,29.2067,30.574146,115.3978,-1.98171,n.a.,n.a.,12186000.0
5664,2024-08-24 00:00:00,26.841375,13.247499999999999,29.648254191635218,2.030182040361307,-11.231,4.669,0.00244646701598,0.0437251,121.3093 /L,58.5725,36.206618,64.466413,2.3414449,n.a.,n.a.,20390400.0
3346,2024-05-19 10:00:00,190.532875,-3.7911666666666664,191.16269487697065,0.6812227502884576,-11.342,4.455,0.00269521496383,-0.0201751,132.7545 /T,47.1335,29.892493,118.1587,-1.182935,n.a.,n.a.,12045600.0
2406,2024-04-10 06:00:00,37.92429166666667,17.350361111111113,41.100956633216526,2.306891013480278,-6.124,6.360,0.00243627636954,0.0495273,20.6976 /T,159.2533,36.657962,67.021911,2.6214981,n.a.,n.a.,8661600.0
8468,2024-12-18 20:00:00,134.401125,21.284583333333334,130.80523570344315,3.9125038062073423,-11.584,4.329,0.00258726866314,0.0616683,136.1016 /L,43.7943,32.437686,109.45422,3.4828322,n.a.,n.a.,30484800.0
5444,2024-08-14 20:00:00,256.06875,-26.298666666666666,257.50292671022135,-3.4611680259543482,-10.931,4.782,0.00258600027126,-0.0674901,115.3850 /T,64.4828,32.363749,97.097266,-3.814291,n.a.,n.a.,19598400.0
2765,2024-04-25 05:00:00,225.60808333333333,-19.752916666666664,228.76914290221868,-2.4391324642612386,-12.271,3.737,0.00264931811209,-0.0350759,165.9261 /L,14.0375,31.094206,110.44303,-2.011939,n.a.,n.a.,9954000.0
6286,2024-09-18 22:00:00,6.95525,3.1419722222222224,7.623646193554837,0.1255657941337589,-12.565,3.672,0.00238911006444,0.0080224,168.4903 /L,11.4828,38.125604,61.473904,0.4230046,n.a.,n.a.,22629600.0
8775,2024-12-31 15:00:00,290.811125,-25.13072222222222,288.7810015806939,-3.0388738370972925,-4.981,5.759,0.00256055844493,-0.0413348,9.6966 /T,170.2784,33.300045,80.165125,-2.302275,n.a.,n.a.,31590000.0
5868,2024-09-01 12:00:00,145.29516666666666,17.76247222222222,141.6773209268796,3.6818287286593034,-5.644,6.321,0.00267717723368,0.029545,17.8946 /L,162.0584,30.437468,112.91373,1.7127385,n.a.,n.a.,21124800.0
1311,2024-02-24 15:00:00,159.27845833333333,12.261972222222223,156.2732200833144,3.285917797324426,-12.529,3.442,0.002713848584,0.0073375,176.5251 /L,3.4655,29.659557,115.90431,0.4378114,n.a.,n.a.,4719600.0
3610,2024-05-30 10:00:00,338.2191666666667,-11.429222222222222,335.612314214277,-2.128325167706335,-10.316,5.174,0.00247928226579,-0.0204871,93.9399 /L,85.9204,35.225546,64.234743,-1.11142,n.a.,n.a.,12996000.0
395,2024-01-17 11:00:00,16.156625,6.708222222222222,17.45571977842683,-0.15788202949280206,-9.876,5.352,0.00248586714383,0.0454336,80.9792 /T,98.8778,35.013141,62.539636,2.471816,n.a.,n.a.,1422000.0
3729,2024-06-04 09:00:00,42.45408333333334,19.14225,45.74868727126979,2.705739286625665,-6.717,6.400,0.00247341688173,0.0223789,28.2704 /L,151.6631,35.595085,68.704831,1.1996815,n.a.,n.a.,13424400.0
5233,2024-08-06 01:00:00,154.65995833333332,13.727222222222222,151.5425730848763,2.9998072838314305,-5.645,6.336,0.00268203647739,0.0282324,18.0485 /T,161.9046,30.326421,115.29259,1.6394667,n.a.,n.a.,18838800.0
6136,2024-09-12 16:00:00,277.913625,-27.48036111111111,277.0255631527026,-4.2341321622887005,-10.703,4.922,0.00255893167265,-0.0715996,106.8718 /T,72.9888,33.017063,86.638456,-4.008748,n.a.,n.a.,22089600.0
6359,2024-09-21 23:00:00,49.40958333333333,22.207,52.86138175901214,3.848166606760345,-11.378,4.564,0.0024547364292,0.0598915,126.1365 /L,53.7507,35.958506,71.442407,3.2161356,n.a.,n.a.,22892400.0
4119,2024-06-20 15:00:00,249.62575,-25.505166666666664,251.6446303597754,-3.3540707673713372,-12.2,3.854,0.00258066799832,-0.0512921,161.8606 /T,18.094,32.736898,100.37528,-2.870012,n.a.,n.a.,14828400.0
1389,2024-02-27 21:00:00,193.55641666666668,-4.290694444444444,194.13565121610165,1.3943316309862663,-11.679,4.191,0.00270369987518,-0.0195251,143.7263 /L,36.1815,29.760735,117.91256,-1.145453,n.a.,n.a.,5000400.0
1764,2024-03-14 12:00:00,47.563208333333336,20.914111111111108,50.85995334208669,3.054674582431504,-8.692,5.862,0.00248663757697,0.0696123,56.8498 /T,123.0302,35.025806,70.228959,3.7798975,n.a.,n.a.,6350400.0
4242,2024-06-25 18:00:00,326.1247916666667,-16.40377777777778,322.8665619512105,-2.660285705088287,-11.489,4.485,0.00247499335182,-0.0138979,131.7187 /L,48.1775,35.46775,67.28378,-0.746667,n.a.,n.a.,15271200.0
